order_id,order_date,region,city,sales_rep,product,customer_type,billing_cycle,base_price_inr,discount_pct,monthly_revenue_inr,contract_value_inr
60016,2024-08-20,North,Delhi,Amit,Dedicated Server Linux High,Blogger,Annual,6799,0.08,6258.47,75101.68
60017,2024-11-10,South,Chennai,Rahul,VPS Linux Premium,Blogger,Monthly,1699,0.18,1387.2,1387.2
60018,2024-10-21,South,Kolkata,Priya,VPS Linux Premium,Blogger,Monthly,1699,0.23,1315.44,1315.44
60019,2024-08-11,North,Bangalore,Rahul,VPS Windows Mid,Startup,Monthly,2099,0.12,1844.58,1844.58
60020,2024-07-02,South,Kolkata,Priya,Dedicated Server Windows High,Blogger,Monthly,9999,0.04,9636.8,9636.8
60021,2024-05-23,East,Bangalore,Suresh,Managed WordPress,SME,Quarterly,499,0.11,446.52,1339.56
60022,2024-05-26,North,Bangalore,Suresh,Dedicated Server Windows Mid,Blogger,Monthly,7999,0.05,7626.01,7626.01
60023,2024-05-30,South,Bangalore,Anita,VPS Linux Premium,Startup,Monthly,1699,0.29,1214.56,1214.56
60024,2024-01-02,North,Kolkata,Priya,VPS Windows Premium,Startup,Quarterly,2440,0.11,2178.58,6535.75
60025,2024-10-30,West,Delhi,Anita,Dedicated Server Windows High,Blogger,Annual,9999,0.14,8603.41,103240.87
60026,2024-04-13,West,Hyderabad,Anita,Dedicated Server Windows Mid,Blogger,Annual,7999,0.1,7190.08,86281.02
60027,2024-11-05,East,Delhi,Amit,VPS Windows Premium,Startup,Monthly,2440,0.08,2256.1,2256.1
60028,2024-05-14,North,Bangalore,Priya,VPS Windows Mid,Blogger,Annual,2099,0.09,1901.73,22820.8
60029,2024-02-07,South,Bangalore,Amit,Dedicated Server Linux Mid,Blogger,Monthly,4799,0.14,4148.09,4148.09
60030,2024-11-12,South,Mumbai,Anita,Dedicated Server Windows High,Startup,Monthly,9999,0.23,7733.98,7733.98
60031,2024-01-06,North,Kolkata,Amit,VPS Windows Mid,Enterprise,Monthly,2099,0.24,1590.75,1590.75
60032,2024-04-25,South,Kolkata,Suresh,VPS Windows Basic,Enterprise,Monthly,1640,0.28,1177.39,1177.39
60033,2024-02-23,North,Delhi,Anita,VPS Linux Mid,Blogger,Monthly,899,0.26,662.76,662.76
60034,2024-09-29,East,Kolkata,Rahul,Dedicated Server Linux Mid,Blogger,Monthly,4799,0.02,4682.41,4682.41
60035,2024-01-13,South,Mumbai,Rahul,Dedicated Server Windows Mid,SME,Monthly,7999,0.18,6581.36,6581.36
60036,2024-05-22,North,Delhi,Amit,Shared Hosting Entry,SME,Monthly,104,0.23,80.54,80.54
60037,2024-11-09,North,Bangalore,Amit,VPS Windows Basic,Blogger,Monthly,1640,0.19,1320.91,1320.91
60038,2024-02-22,North,Bangalore,Neha,Dedicated Server Windows Mid,Startup,Monthly,7999,0.01,7921.34,7921.34
60039,2024-11-06,West,Delhi,Amit,VPS Linux Mid,Startup,Annual,899,0.16,751.28,9015.36
60040,2024-08-16,East,Delhi,Suresh,Shared Hosting Mid,Startup,Monthly,202,0.29,142.63,142.63
60041,2024-10-16,East,Delhi,Rahul,Shared Hosting Premium,Blogger,Monthly,299,0.19,243.49,243.49
60042,2024-03-09,West,Bangalore,Neha,VPS Linux Basic,SME,Monthly,549,0.1,496.45,496.45
60043,2024-08-07,South,Chennai,Anita,VPS Windows Premium,Blogger,Monthly,2440,0.11,2166.88,2166.88
60044,2024-02-08,East,Bangalore,Rahul,Shared Hosting Entry,SME,Monthly,104,0.27,75.81,75.81
60045,2024-08-10,North,Kolkata,Priya,VPS Linux Premium,Blogger,Monthly,1699,0.21,1338.06,1338.06
60046,2024-06-08,South,Chennai,Rahul,Shared Hosting Entry,Blogger,Annual,104,0.2,83.18,998.14
60047,2024-09-24,East,Bangalore,Suresh,Dedicated Server Windows High,SME,Monthly,9999,0.1,9028.67,9028.67
60048,2024-08-29,North,Delhi,Amit,VPS Windows Basic,Blogger,Annual,1640,0.28,1186.81,14241.67
60049,2024-07-14,West,Delhi,Rahul,Dedicated Server Linux Mid,Blogger,Monthly,4799,0.08,4416.31,4416.31
60050,2024-07-10,North,Mumbai,Neha,Dedicated Server Linux Mid,Blogger,Monthly,4799,0.23,3675.26,3675.26
60051,2024-09-24,North,Bangalore,Amit,VPS Windows Premium,Startup,Quarterly,2440,0.08,2240.11,6720.33
60052,2024-08-04,North,Kolkata,Amit,VPS Windows Mid,Startup,Quarterly,2099,0.24,1598.1,4794.31
60053,2024-10-10,North,Kolkata,Priya,VPS Linux Premium,Blogger,Annual,1699,0.15,1448.74,17384.84
60054,2024-02-22,East,Mumbai,Suresh,Dedicated Server Windows High,Startup,Annual,9999,0.14,8565.55,102786.58
60055,2024-08-02,South,Delhi,Rahul,Dedicated Server Linux High,Startup,Quarterly,6799,0.02,6643.97,19931.92
60056,2024-01-07,East,Hyderabad,Anita,VPS Windows Premium,Blogger,Quarterly,2440,0.29,1727.12,5181.37
60057,2024-05-15,West,Delhi,Neha,VPS Windows Mid,Blogger,Monthly,2099,0.15,1785.91,1785.91
60058,2024-09-08,West,Kolkata,Priya,VPS Windows Basic,Blogger,Monthly,1640,0.25,1224.75,1224.75
60059,2024-05-20,South,Kolkata,Amit,Shared Hosting Entry,Startup,Quarterly,104,0.21,81.99,245.96
60060,2024-07-08,East,Hyderabad,Anita,VPS Windows Basic,Startup,Monthly,1640,0.24,1254.2,1254.2
60061,2024-06-08,South,Mumbai,Rahul,VPS Windows Basic,Blogger,Monthly,1640,0.07,1524.01,1524.01
60062,2024-01-20,West,Kolkata,Priya,VPS Windows Premium,Startup,Monthly,2440,0.06,2291.53,2291.53
60063,2024-05-23,North,Kolkata,Amit,Shared Hosting Entry,Startup,Monthly,104,0.14,89.09,89.09
60064,2024-05-01,North,Mumbai,Priya,Dedicated Server Linux Mid,Blogger,Annual,4799,0.24,3648.8,43785.56
60065,2024-05-24,South,Delhi,Anita,Shared Hosting Premium,Blogger,Monthly,299,0.17,247.97,247.97
60066,2024-03-22,North,Delhi,Suresh,VPS Linux Mid,SME,Monthly,899,0.2,718.57,718.57
60067,2024-04-28,North,Hyderabad,Suresh,VPS Windows Mid,Blogger,Monthly,2099,0.28,1511.71,1511.71
60068,2024-11-10,West,Mumbai,Rahul,VPS Windows Basic,Blogger,Quarterly,1640,0.17,1361.05,4083.14
60069,2024-07-15,South,Mumbai,Amit,Dedicated Server Windows Mid,Startup,Quarterly,7999,0.12,7061.73,21185.19
60070,2024-03-25,East,Kolkata,Rahul,Dedicated Server Windows High,Blogger,Annual,9999,0.14,8610.56,103326.72
60071,2024-02-03,East,Delhi,Anita,VPS Windows Mid,SME,Monthly,2099,0.29,1493.41,1493.41
60072,2024-02-23,South,Chennai,Suresh,VPS Linux Premium,Blogger,Monthly,1699,0.22,1328.8,1328.8
60073,2024-03-06,South,Bangalore,Neha,Dedicated Server Windows High,Startup,Monthly,9999,0.2,8019.65,8019.65
60074,2024-11-03,West,Bangalore,Rahul,Dedicated Server Linux High,Blogger,Annual,6799,0.15,5749.81,68997.67
60075,2024-05-17,North,Bangalore,Anita,VPS Windows Premium,Enterprise,Monthly,2440,0.28,1762.61,1762.61
60076,2024-05-05,South,Kolkata,Neha,Dedicated Server Windows High,Blogger,Monthly,9999,0.06,9353.45,9353.45
60077,2024-01-08,North,Delhi,Suresh,Dedicated Server Linux Entry,Blogger,Monthly,3299,0.02,3236.43,3236.43
60078,2024-02-20,West,Bangalore,Rahul,Shared Hosting Premium,Startup,Quarterly,299,0.18,244.48,733.45
60079,2024-01-12,North,Delhi,Anita,Shared Hosting Entry,Startup,Monthly,104,0.16,87.81,87.81
60080,2024-08-01,East,Delhi,Anita,Managed WordPress,Startup,Monthly,499,0.13,436.37,436.37
60081,2024-09-09,North,Mumbai,Anita,Shared Hosting Entry,Blogger,Annual,104,0.28,74.45,893.35
60082,2024-06-02,North,Chennai,Amit,Dedicated Server Windows High,Startup,Monthly,9999,0.23,7689.13,7689.13
60083,2024-10-20,West,Bangalore,Priya,Shared Hosting Entry,Blogger,Monthly,104,0.24,78.76,78.76
60084,2024-03-26,South,Delhi,Anita,VPS Windows Premium,SME,Monthly,2440,0.12,2153.76,2153.76
60085,2024-05-25,South,Chennai,Suresh,VPS Linux Premium,Startup,Monthly,1699,0.27,1235.8,1235.8
60086,2024-04-10,East,Mumbai,Suresh,Shared Hosting Entry,Blogger,Monthly,104,0.22,81.39,81.39
60087,2024-05-29,South,Kolkata,Neha,VPS Linux Premium,Enterprise,Quarterly,1699,0.19,1371.61,4114.84
60088,2024-11-06,West,Delhi,Amit,Managed WordPress,Blogger,Monthly,499,0.12,437.54,437.54
60089,2024-08-07,East,Kolkata,Amit,Dedicated Server Windows Mid,Blogger,Monthly,7999,0.0,7962.52,7962.52
60090,2024-07-21,South,Chennai,Amit,Dedicated Server Windows High,Enterprise,Monthly,9999,0.24,7561.58,7561.58
60091,2024-01-20,North,Mumbai,Suresh,VPS Windows Premium,Blogger,Monthly,2440,0.24,1848.61,1848.61
60092,2024-09-15,North,Bangalore,Suresh,VPS Linux Basic,Enterprise,Monthly,549,0.2,437.74,437.74
60093,2024-03-24,North,Kolkata,Neha,Shared Hosting Entry,Startup,Monthly,104,0.13,90.8,90.8
60094,2024-10-31,South,Bangalore,Suresh,VPS Linux Basic,Blogger,Quarterly,549,0.24,417.21,1251.63
60095,2024-02-04,West,Kolkata,Rahul,Dedicated Server Windows Mid,Blogger,Quarterly,7999,0.1,7182.07,21546.2
60096,2024-10-12,East,Hyderabad,Neha,Dedicated Server Windows High,Blogger,Quarterly,9999,0.01,9878.78,29636.33
60097,2024-03-29,East,Kolkata,Anita,Dedicated Server Linux High,SME,Monthly,6799,0.06,6398.38,6398.38
60098,2024-05-22,West,Bangalore,Anita,Dedicated Server Linux Mid,SME,Monthly,4799,0.18,3942.64,3942.64
60099,2024-07-16,South,Delhi,Suresh,VPS Windows Premium,Startup,Monthly,2440,0.15,2079.2,2079.2
60100,2024-08-18,North,Chennai,Neha,Dedicated Server Windows High,Startup,Quarterly,9999,0.08,9161.82,27485.46
60101,2024-03-26,East,Chennai,Anita,VPS Windows Premium,Blogger,Annual,2440,0.24,1859.03,22308.41
60102,2024-07-02,North,Bangalore,Priya,Dedicated Server Linux Mid,Startup,Monthly,4799,0.19,3893.63,3893.63
60103,2024-08-30,South,Chennai,Suresh,VPS Windows Premium,Startup,Monthly,2440,0.17,2021.32,2021.32
60104,2024-01-23,West,Kolkata,Amit,VPS Windows Premium,Blogger,Quarterly,2440,0.2,1952.59,5857.78
60105,2024-04-13,South,Bangalore,Anita,VPS Windows Mid,Blogger,Annual,2099,0.09,1913.58,22962.95
60106,2024-10-13,East,Kolkata,Rahul,Dedicated Server Windows Mid,SME,Annual,7999,0.14,6868.87,82426.5
60107,2024-04-19,West,Kolkata,Anita,VPS Windows Premium,Blogger,Monthly,2440,0.23,1868.77,1868.77
60108,2024-11-04,North,Delhi,Neha,Shared Hosting Premium,Blogger,Quarterly,299,0.17,249.24,747.71
60109,2024-10-20,North,Mumbai,Anita,VPS Linux Premium,SME,Quarterly,1699,0.05,1612.08,4836.25
60110,2024-06-30,South,Delhi,Priya,VPS Linux Premium,Enterprise,Monthly,1699,0.23,1300.8,1300.8
60111,2024-06-04,West,Mumbai,Suresh,Shared Hosting Premium,Startup,Monthly,299,0.18,244.05,244.05
60112,2024-07-07,South,Bangalore,Amit,Managed WordPress,Blogger,Monthly,499,0.2,401.03,401.03
60113,2024-06-06,South,Mumbai,Suresh,Shared Hosting Premium,Blogger,Monthly,299,0.16,250.57,250.57
60114,2024-07-12,South,Delhi,Amit,Shared Hosting Premium,SME,Monthly,299,0.19,240.87,240.87
60115,2024-05-10,East,Delhi,Neha,VPS Windows Premium,Blogger,Monthly,2440,0.17,2014.82,2014.82
60116,2024-01-08,South,Delhi,Priya,VPS Windows Basic,SME,Monthly,1640,0.21,1293.96,1293.96
60117,2024-08-16,East,Delhi,Amit,Shared Hosting Entry,Blogger,Monthly,104,0.15,88.79,88.79
60118,2024-10-28,North,Delhi,Amit,Shared Hosting Premium,Startup,Quarterly,299,0.15,254.86,764.57
60119,2024-09-19,North,Mumbai,Rahul,Dedicated Server Windows Mid,Blogger,Monthly,7999,0.17,6663.0,6663.0
60120,2024-10-29,West,Bangalore,Rahul,Dedicated Server Linux Mid,SME,Quarterly,4799,0.03,4651.7,13955.1
60121,2024-09-12,South,Delhi,Priya,VPS Windows Premium,Startup,Monthly,2440,0.26,1814.68,1814.68
60122,2024-04-29,West,Chennai,Anita,VPS Windows Premium,SME,Monthly,2440,0.12,2138.38,2138.38
60123,2024-08-24,South,Bangalore,Anita,Dedicated Server Windows High,Startup,Monthly,9999,0.05,9543.78,9543.78
60124,2024-08-02,South,Delhi,Neha,VPS Windows Basic,Blogger,Monthly,1640,0.21,1293.53,1293.53
60125,2024-06-01,West,Bangalore,Rahul,Dedicated Server Linux Mid,Startup,Quarterly,4799,0.13,4163.54,12490.62
60126,2024-04-07,North,Mumbai,Amit,VPS Windows Mid,SME,Quarterly,2099,0.08,1938.12,5814.37
60127,2024-02-15,West,Mumbai,Priya,VPS Windows Premium,SME,Quarterly,2440,0.09,2211.02,6633.07
60128,2024-09-23,North,Bangalore,Rahul,Shared Hosting Entry,Blogger,Monthly,104,0.25,78.25,78.25
60129,2024-05-31,North,Bangalore,Rahul,VPS Linux Mid,Blogger,Monthly,899,0.23,692.44,692.44
60130,2024-07-19,North,Mumbai,Suresh,Dedicated Server Windows High,SME,Quarterly,9999,0.05,9461.7,28385.11
60131,2024-01-25,East,Bangalore,Suresh,Dedicated Server Linux High,Startup,Monthly,6799,0.02,6671.28,6671.28
60132,2024-04-10,East,Mumbai,Rahul,VPS Linux Basic,Blogger,Quarterly,549,0.25,411.83,1235.49
60133,2024-08-03,West,Mumbai,Priya,Shared Hosting Mid,Startup,Annual,202,0.13,176.27,2115.27
60134,2024-09-24,East,Bangalore,Anita,Dedicated Server Linux High,Enterprise,Quarterly,6799,0.19,5508.83,16526.49
60135,2024-03-26,North,Chennai,Anita,Managed WordPress,Blogger,Annual,499,0.19,403.39,4840.65
60136,2024-03-22,North,Kolkata,Rahul,Dedicated Server Windows High,Startup,Monthly,9999,0.17,8255.62,8255.62
60137,2024-04-17,South,Bangalore,Amit,Dedicated Server Linux High,Startup,Monthly,6799,0.11,6025.37,6025.37
60138,2024-01-04,North,Chennai,Priya,Shared Hosting Mid,Startup,Monthly,202,0.24,153.67,153.67
60139,2024-08-14,West,Bangalore,Amit,Dedicated Server Linux High,Startup,Monthly,6799,0.16,5735.14,5735.14
60140,2024-10-28,South,Kolkata,Suresh,Dedicated Server Windows Mid,Blogger,Monthly,7999,0.22,6249.82,6249.82
60141,2024-09-22,South,Bangalore,Priya,VPS Linux Premium,Enterprise,Quarterly,1699,0.15,1443.33,4329.99
60142,2024-06-06,East,Delhi,Neha,Shared Hosting Mid,Blogger,Monthly,202,0.2,160.69,160.69
60143,2024-05-19,North,Kolkata,Anita,Dedicated Server Windows Mid,Blogger,Quarterly,7999,0.15,6820.93,20462.79
60144,2024-03-02,South,Kolkata,Amit,Dedicated Server Windows High,Startup,Quarterly,9999,0.06,9351.61,28054.82
60145,2024-11-25,North,Kolkata,Amit,VPS Windows Premium,Startup,Monthly,2440,0.3,1713.39,1713.39
60146,2024-02-16,West,Hyderabad,Neha,Shared Hosting Entry,Blogger,Monthly,104,0.11,92.84,92.84
60147,2024-03-02,South,Mumbai,Suresh,Managed WordPress,SME,Monthly,499,0.14,429.34,429.34
60148,2024-04-07,East,Chennai,Anita,Dedicated Server Windows High,Startup,Annual,9999,0.12,8840.66,106087.97
60149,2024-01-09,South,Delhi,Rahul,VPS Windows Mid,SME,Monthly,2099,0.12,1850.81,1850.81
60150,2024-06-24,North,Mumbai,Amit,VPS Linux Premium,Blogger,Annual,1699,0.23,1301.77,15621.22
60151,2024-10-27,East,Delhi,Anita,VPS Windows Mid,Blogger,Monthly,2099,0.11,1878.51,1878.51
60152,2024-10-15,North,Chennai,Suresh,VPS Windows Mid,SME,Monthly,2099,0.26,1561.3,1561.3
60153,2024-02-14,West,Hyderabad,Anita,Dedicated Server Windows Mid,Blogger,Quarterly,7999,0.16,6682.26,20046.78
60154,2024-09-05,East,Delhi,Suresh,Dedicated Server Linux Mid,Enterprise,Quarterly,4799,0.15,4056.82,12170.46
60155,2024-07-24,North,Chennai,Rahul,Shared Hosting Entry,SME,Quarterly,104,0.13,90.92,272.76
60156,2024-08-10,North,Mumbai,Anita,Dedicated Server Linux High,Startup,Monthly,6799,0.05,6470.72,6470.72
60157,2024-11-14,North,Mumbai,Rahul,VPS Windows Basic,Startup,Monthly,1640,0.25,1222.34,1222.34
60158,2024-08-06,East,Delhi,Priya,VPS Windows Basic,Blogger,Monthly,1640,0.24,1248.98,1248.98
60159,2024-09-26,South,Delhi,Suresh,Shared Hosting Premium,SME,Quarterly,299,0.24,226.73,680.18
60160,2024-05-13,North,Chennai,Neha,Dedicated Server Windows High,Blogger,Annual,9999,0.19,8125.06,97500.69
60161,2024-04-08,North,Delhi,Rahul,VPS Windows Basic,Enterprise,Quarterly,1640,0.11,1454.47,4363.41
60162,2024-03-24,East,Delhi,Rahul,VPS Windows Mid,SME,Monthly,2099,0.25,1576.97,1576.97
60163,2024-03-24,North,Mumbai,Neha,Dedicated Server Linux Entry,Enterprise,Monthly,3299,0.24,2514.78,2514.78
60164,2024-11-15,South,Hyderabad,Rahul,VPS Windows Basic,Blogger,Monthly,1640,0.3,1154.57,1154.57
60165,2024-05-24,South,Bangalore,Priya,Dedicated Server Windows Mid,Blogger,Quarterly,7999,0.14,6873.64,20620.92
60166,2024-06-29,South,Delhi,Neha,Shared Hosting Mid,Blogger,Monthly,202,0.19,163.47,163.47
60167,2024-08-15,South,Delhi,Anita,Dedicated Server Windows High,Startup,Annual,9999,0.05,9535.4,114424.79
60168,2024-03-04,East,Mumbai,Rahul,VPS Windows Premium,SME,Monthly,2440,0.09,2219.9,2219.9
60169,2024-10-27,South,Bangalore,Amit,VPS Windows Mid,Blogger,Monthly,2099,0.07,1956.03,1956.03
60170,2024-02-15,East,Chennai,Anita,Dedicated Server Linux High,Blogger,Annual,6799,0.23,5255.94,63071.22
60171,2024-01-02,East,Bangalore,Rahul,Shared Hosting Mid,Blogger,Monthly,202,0.22,156.83,156.83
60172,2024-03-30,West,Mumbai,Rahul,VPS Windows Premium,Enterprise,Annual,2440,0.07,2267.67,27212.04
60173,2024-05-02,North,Delhi,Suresh,Dedicated Server Linux Mid,Blogger,Quarterly,4799,0.05,4558.87,13676.61
60174,2024-03-24,South,Chennai,Rahul,Shared Hosting Entry,Startup,Annual,104,0.11,92.52,1110.23
60175,2024-01-03,West,Bangalore,Rahul,VPS Linux Premium,SME,Quarterly,1699,0.07,1580.02,4740.06
60176,2024-10-27,East,Bangalore,Priya,Shared Hosting Entry,Blogger,Monthly,104,0.19,84.48,84.48
60177,2024-11-02,East,Hyderabad,Neha,VPS Windows Premium,Startup,Monthly,2440,0.17,2031.19,2031.19
60178,2024-07-20,North,Bangalore,Suresh,Shared Hosting Premium,Startup,Monthly,299,0.23,230.03,230.03
60179,2024-06-07,North,Hyderabad,Anita,VPS Windows Basic,SME,Monthly,1640,0.15,1386.46,1386.46
60180,2024-06-25,East,Chennai,Priya,VPS Windows Mid,Blogger,Quarterly,2099,0.21,1664.11,4992.32
60181,2024-10-21,South,Bangalore,Rahul,VPS Windows Premium,SME,Monthly,2440,0.06,2300.07,2300.07
60182,2024-10-08,North,Bangalore,Neha,VPS Linux Mid,SME,Monthly,899,0.28,649.0,649.0
60183,2024-02-10,North,Kolkata,Neha,Dedicated Server Linux Mid,SME,Annual,4799,0.04,4583.43,55001.1
60184,2024-05-24,South,Mumbai,Rahul,VPS Linux Basic,Blogger,Annual,549,0.16,460.43,5525.18
60185,2024-10-27,East,Mumbai,Priya,VPS Windows Basic,Blogger,Annual,1640,0.11,1452.17,17425.98
60186,2024-09-13,South,Mumbai,Neha,Managed WordPress,Blogger,Monthly,499,0.18,407.9,407.9
60187,2024-06-23,North,Mumbai,Priya,VPS Windows Mid,Blogger,Monthly,2099,0.29,1496.28,1496.28
60188,2024-05-09,West,Bangalore,Amit,Dedicated Server Linux Entry,Blogger,Monthly,3299,0.21,2602.77,2602.77
60189,2024-11-20,East,Delhi,Neha,Shared Hosting Mid,Enterprise,Monthly,202,0.11,179.71,179.71
60190,2024-08-04,South,Bangalore,Suresh,Shared Hosting Mid,Blogger,Monthly,202,0.24,154.0,154.0
60191,2024-05-30,South,Bangalore,Priya,Dedicated Server Linux Entry,Startup,Annual,3299,0.11,2923.95,35087.44
60192,2024-09-20,North,Chennai,Rahul,Shared Hosting Entry,Blogger,Monthly,104,0.24,78.94,78.94
60193,2024-04-23,North,Chennai,Rahul,Shared Hosting Premium,Blogger,Monthly,299,0.29,211.49,211.49
60194,2024-10-15,East,Delhi,Anita,VPS Linux Basic,Startup,Quarterly,549,0.27,402.88,1208.65
60195,2024-07-10,East,Bangalore,Amit,VPS Windows Premium,Startup,Annual,2440,0.26,1813.63,21763.54
60196,2024-11-19,West,Chennai,Neha,Shared Hosting Entry,Blogger,Annual,104,0.18,85.14,1021.64
60197,2024-05-08,South,Kolkata,Neha,Dedicated Server Linux Entry,SME,Quarterly,3299,0.23,2535.55,7606.65
60198,2024-04-02,North,Mumbai,Neha,Shared Hosting Mid,Blogger,Monthly,202,0.1,181.57,181.57
60199,2024-11-25,North,Delhi,Suresh,VPS Windows Mid,Blogger,Monthly,2099,0.14,1798.19,1798.19
60200,2024-06-02,West,Hyderabad,Priya,Dedicated Server Linux High,Blogger,Monthly,6799,0.14,5877.12,5877.12
60201,2024-11-21,North,Bangalore,Suresh,Shared Hosting Mid,SME,Monthly,202,0.21,160.52,160.52
60202,2024-10-07,West,Mumbai,Neha,Dedicated Server Linux High,SME,Quarterly,6799,0.13,5913.03,17739.1
60203,2024-02-21,South,Delhi,Amit,Dedicated Server Linux Entry,Startup,Monthly,3299,0.05,3136.4,3136.4
60204,2024-03-17,South,Delhi,Amit,Dedicated Server Linux Entry,SME,Annual,3299,0.13,2860.02,34320.22
60205,2024-11-07,East,Delhi,Neha,VPS Windows Mid,Blogger,Monthly,2099,0.1,1898.99,1898.99
60206,2024-06-21,South,Delhi,Amit,Dedicated Server Linux High,Startup,Monthly,6799,0.23,5239.05,5239.05
60207,2024-09-27,West,Hyderabad,Anita,Dedicated Server Linux Entry,SME,Annual,3299,0.15,2802.82,33633.85
60208,2024-03-08,West,Mumbai,Rahul,VPS Windows Premium,Blogger,Monthly,2440,0.26,1805.68,1805.68
60209,2024-08-29,East,Delhi,Priya,VPS Linux Mid,Blogger,Quarterly,899,0.16,758.81,2276.44
60210,2024-05-22,South,Bangalore,Amit,Shared Hosting Premium,Blogger,Monthly,299,0.27,217.12,217.12
60211,2024-09-14,North,Bangalore,Anita,Managed WordPress,Startup,Monthly,499,0.15,426.3,426.3
60212,2024-10-06,South,Mumbai,Anita,VPS Linux Mid,Startup,Monthly,899,0.22,702.15,702.15
60213,2024-08-16,South,Mumbai,Amit,Shared Hosting Mid,Blogger,Monthly,202,0.24,152.54,152.54
60214,2024-11-11,North,Mumbai,Priya,Dedicated Server Windows High,Startup,Monthly,9999,0.08,9190.65,9190.65
60215,2024-10-26,South,Hyderabad,Rahul,Shared Hosting Entry,Startup,Quarterly,104,0.15,88.74,266.22
60216,2024-10-12,West,Chennai,Anita,VPS Linux Premium,Enterprise,Monthly,1699,0.22,1329.69,1329.69
60217,2024-04-15,West,Bangalore,Anita,VPS Linux Premium,Blogger,Monthly,1699,0.07,1576.35,1576.35
60218,2024-01-30,North,Chennai,Priya,Shared Hosting Mid,Startup,Monthly,202,0.25,151.25,151.25
60219,2024-10-12,West,Kolkata,Priya,Managed WordPress,Blogger,Monthly,499,0.07,462.64,462.64
60220,2024-08-13,East,Delhi,Priya,VPS Windows Premium,SME,Quarterly,2440,0.07,2263.63,6790.9
60221,2024-11-18,North,Mumbai,Rahul,Shared Hosting Entry,Enterprise,Monthly,104,0.15,88.87,88.87
60222,2024-11-11,South,Kolkata,Suresh,VPS Windows Basic,Startup,Monthly,1640,0.2,1311.76,1311.76
60223,2024-06-06,North,Hyderabad,Suresh,Dedicated Server Windows Mid,Startup,Monthly,7999,0.23,6138.04,6138.04
60224,2024-05-09,West,Mumbai,Suresh,Dedicated Server Linux Mid,Blogger,Monthly,4799,0.05,4544.67,4544.67
60225,2024-06-12,West,Bangalore,Neha,Managed WordPress,SME,Annual,499,0.14,431.16,5173.89
60226,2024-01-25,West,Mumbai,Suresh,VPS Windows Premium,Blogger,Monthly,2440,0.27,1770.06,1770.06
60227,2024-10-14,South,Delhi,Neha,Dedicated Server Linux Entry,Startup,Monthly,3299,0.12,2904.58,2904.58
60228,2024-02-12,West,Mumbai,Amit,Shared Hosting Mid,Blogger,Monthly,202,0.29,143.97,143.97
60229,2024-09-23,North,Chennai,Rahul,VPS Windows Premium,Blogger,Quarterly,2440,0.09,2225.26,6675.79
60230,2024-07-08,South,Delhi,Neha,Dedicated Server Linux High,Blogger,Quarterly,6799,0.07,6293.57,18880.71
60231,2024-11-03,East,Bangalore,Anita,VPS Linux Mid,Blogger,Monthly,899,0.22,698.61,698.61
60232,2024-01-07,East,Chennai,Amit,Shared Hosting Premium,Startup,Quarterly,299,0.27,218.39,655.17
60233,2024-09-02,South,Kolkata,Rahul,VPS Windows Premium,Blogger,Monthly,2440,0.09,2210.1,2210.1
60234,2024-08-29,North,Bangalore,Neha,Dedicated Server Linux High,Blogger,Monthly,6799,0.17,5641.51,5641.51
60235,2024-07-09,North,Mumbai,Anita,VPS Windows Premium,Startup,Monthly,2440,0.07,2278.58,2278.58
